id,ferrouscount,ferroussize,nonferrouscount,nonferroussize,peakvalue,rms,cf,kurtosis,fm4,na4
58,16,0 - 10,17,0 - 10,2.89,2.98,6.49,3.03,3.92,4.08
59,16,0 - 10,17,0 - 10,2.86,3.11,7.15,2.88,3.89,4.07
60,16,0 - 10,17,0 - 10,2.88,2.98,7.46,2.79,3.42,4.01
61,15,0 - 10,18,0 - 10,4,3.1,7.46,2.99,3.24,4.12
62,15,0 - 10,18,0 - 10,3.89,3.02,7.84,2.95,3.65,4.32
63,15,0 - 10,18,0 - 10,3.56,2.98,6.95,2.89,3.42,4.35
64,15,0 - 10,18,0 - 10,2.97,2.83,6.87,2.83,3.25,4.26
65,15,0 - 10,18,0 - 10,2.65,2.77,6.85,2.77,3.27,4.35
66,15,0 - 10,18,0 - 10,2.99,2.89,6.28,3.01,3.62,4.12
67,15,0 - 10,18,0 - 10,2.45,3.87,6.48,3.07,3.52,3.96
68,15,0 - 10,18,0 - 10,3.65,3.86,6.67,2.95,3.64,3.89
69,15,0 - 10,18,0 - 10,3.01,3.02,6.86,2.95,3.45,3.79
70,15,0 - 10,18,0 - 10,3.07,3.96,6.02,2.92,3.19,3.65
71,17,0 - 10,16,0 - 10,2.85,3.75,6.56,2.89,3.27,3.59
72,17,0 - 10,16,0 - 10,2.84,3.26,6.42,2.86,3.29,3.75
73,17,0 - 10,16,0 - 10,2.95,3.54,6.75,2.88,3.49,3.94
74,17,0 - 10,16,0 - 10,2.89,2.53,6.84,2.98,3.59,3.48
75,17,0 - 10,16,0 - 10,2.83,4.22,6.95,3,3.86,3.46
76,17,0 - 10,16,0 - 10,2.77,3.1,6.45,3.07,3.46,3.52
77,17,0 - 10,16,0 - 10,2.89,3.02,6.79,3.03,3.59,3.34
78,17,0 - 10,16,0 - 10,2.95,2.98,7.21,2.88,3.76,3.37
79,17,0 - 10,16,0 - 10,2.98,3,7.34,2.79,3.49,3.83
80,17,0 - 10,16,0 - 10,3,2.98,6.98,2.95,3.95,4.2
81,14,0 - 10,17,0 - 10,3.07,3,6.87,3.1,3.16,4.12
82,14,0 - 10,17,0 - 10,2.98,3.07,6.89,3.02,3.35,3.95
83,14,0 - 10,17,0 - 10,3,3.02,6.56,2.98,3.5,3.94
84,14,0 - 10,17,0 - 10,3.03,2.98,6.67,2.89,3.54,3.92
85,14,0 - 10,17,0 - 10,3.05,2.89,6.86,2.99,3.66,3.89
86,14,0 - 10,17,0 - 10,2.99,3.88,6.96,3.06,3.75,3.42
87,14,0 - 10,17,0 - 10,2.45,3.09,6.76,3.03,3.94,3.66
88,14,0 - 10,17,0 - 10,3.65,2.99,6.43,3.05,3.48,3.75
89,14,0 - 10,17,0 - 10,3.85,2.98,6.48,3.08,3.46,3.94
90,14,0 - 10,17,0 - 10,2.98,3.08,6.49,3.09,3.52,3.48
91,15,0 - 10,15,0 - 10,3.08,3.02,6.59,3.11,3.34,3.46
92,15,0 - 10,15,0 - 10,3.09,2.98,6.73,3.07,3.37,3.52
93,15,0 - 10,15,0 - 10,3.11,2.89,6.18,3.06,3.83,3.34
94,15,0 - 10,15,0 - 10,2.97,2.95,6.72,3.09,4.2,3.37
95,15,0 - 10,15,0 - 10,3.07,2.95,6.77,3.01,4.12,3.83
96,15,0 - 10,15,0 - 10,3.01,2.77,6.43,2.99,3.95,4.2
97,15,0 - 10,15,0 - 10,2.99,3.86,6.55,2.98,3.94,4.12
98,15,0 - 10,15,0 - 10,2.98,2.68,6.99,3.08,3.92,3.95
99,15,0 - 10,15,0 - 10,3.1,2.53,6.79,3.09,3.89,3.94
100,15,0 - 10,15,0 - 10,3.02,3.08,7.04,3.11,3.42,3.92
101,17,0 - 10,14,0 - 10,2.88,2.68,7.46,3.07,3.24,3.89
102,17,0 - 10,14,0 - 10,3.02,2.53,7.45,3.06,3.65,3.42
103,17,0 - 10,14,0 - 10,2.95,4.22,7.49,2.99,3.42,3.54
104,17,0 - 10,14,0 - 10,2.77,3.88,7.48,3.1,3.25,3.52
105,17,0 - 10,14,0 - 10,3.01,3,7.49,3.02,3.27,3.25
106,17,0 - 10,14,0 - 10,2.95,3.07,7.99,2.89,3.62,3.84
107,17,0 - 10,14,0 - 10,2.95,3.26,7.35,2.86,3.52,3.48
108,17,0 - 10,14,0 - 10,2.92,3.98,7.46,2.88,3.64,3.68
109,17,0 - 10,14,0 - 10,2.89,4.06,6.49,2.98,3.45,3.56
110,17,0 - 10,14,0 - 10,2.86,2.88,7.15,2.95,3.19,3.72
111,16,0 - 10,17,0 - 10,2.95,2.98,7.46,2.95,3.27,3.21
112,16,0 - 10,17,0 - 10,2.95,2.95,7.46,2.77,3.29,3.19
113,16,0 - 10,17,0 - 10,2.89,3.05,7.84,3.01,3.49,3.39
114,16,0 - 10,17,0 - 10,2.86,3.08,6.95,3.07,3.59,3.64
115,16,0 - 10,17,0 - 10,4.25,3.09,6.87,3.11,3.86,3.46
116,16,0 - 10,17,0 - 10,2.89,2.86,6.85,2.98,3.46,3.56
117,16,0 - 10,17,0 - 10,2.92,2.88,6.28,3.07,3.59,3.78
118,16,0 - 10,17,0 - 10,2.89,2.98,6.48,3.03,3.76,3.84
119,16,0 - 10,17,0 - 10,2.86,3.11,6.67,2.88,3.49,3.54
120,16,0 - 10,17,0 - 10,2.88,2.98,6.86,2.79,3.95,3.56
121,15,0 - 10,18,0 - 10,4,3.1,6.02,2.99,3.16,3.21
122,15,0 - 10,18,0 - 10,3.89,3.02,6.56,2.95,3.35,3.29
123,15,0 - 10,18,0 - 10,3.56,2.98,6.42,2.89,3.5,3.49
124,15,0 - 10,18,0 - 10,2.97,2.83,6.75,2.83,3.54,3.57
125,15,0 - 10,18,0 - 10,2.65,2.77,6.84,2.77,3.66,3.86
126,15,0 - 10,18,0 - 10,2.99,2.89,6.95,3.01,3.75,3.48
127,15,0 - 10,18,0 - 10,2.45,3.87,6.45,3.07,3.94,3.18
128,15,0 - 10,18,0 - 10,3.65,3.86,6.79,2.95,3.48,3.16
129,15,0 - 10,18,0 - 10,3.01,3.02,7.21,2.95,3.46,3.25
130,15,0 - 10,18,0 - 10,3.07,3.96,7.34,2.92,3.52,3.48
131,17,0 - 10,16,0 - 10,2.85,3.75,6.98,2.89,3.34,3.95
132,17,0 - 10,16,0 - 10,2.84,3.26,6.87,2.86,3.37,4.12
133,17,0 - 10,16,0 - 10,2.95,3.54,6.89,2.88,3.83,4.01
134,17,0 - 10,16,0 - 10,2.89,2.53,6.56,2.98,4.2,4.09
135,17,0 - 10,16,0 - 10,2.83,4.22,6.67,3,4.12,4.08
136,17,0 - 10,16,0 - 10,2.77,3.1,6.86,3.07,3.95,4.07
137,17,0 - 10,16,0 - 10,2.89,3.02,6.96,3.03,3.94,4.01
138,17,0 - 10,16,0 - 10,2.95,2.98,6.76,2.88,3.92,4.12
139,17,0 - 10,16,0 - 10,2.98,3,6.43,2.79,3.89,4.32
140,17,0 - 10,16,0 - 10,3,2.98,6.48,2.95,3.42,4.35
141,14,0 - 10,17,0 - 10,3.07,3,6.49,3.1,3.24,4.26
142,14,0 - 10,17,0 - 10,2.98,3.07,6.59,3.02,3.65,4.35
143,14,0 - 10,17,0 - 10,3,3.02,6.73,2.98,3.42,4.12
144,14,0 - 10,17,0 - 10,3.03,2.98,6.18,2.89,3.25,3.96
145,14,0 - 10,17,0 - 10,3.05,2.89,6.72,2.99,3.27,3.89
146,14,0 - 10,17,0 - 10,2.99,3.88,6.77,3.06,3.62,3.79
147,14,0 - 10,17,0 - 10,2.45,3.09,6.43,3.03,3.52,3.65
148,14,0 - 10,17,0 - 10,3.65,2.99,6.55,3.05,3.64,3.59
149,14,0 - 10,17,0 - 10,3.85,2.98,6.99,3.08,3.45,3.75
150,14,0 - 10,17,0 - 10,2.98,3.08,6.79,3.09,3.19,3.94
151,15,0 - 10,15,0 - 10,3.08,3.02,7.04,3.11,3.27,3.48
152,15,0 - 10,15,0 - 10,3.09,2.98,7.46,3.07,3.29,3.46
153,15,0 - 10,15,0 - 10,3.11,2.89,7.45,3.06,3.49,3.52
154,15,0 - 10,15,0 - 10,2.97,2.95,7.49,3.09,3.59,3.34
155,15,0 - 10,15,0 - 10,3.07,2.95,7.48,3.01,3.86,3.37
156,15,0 - 10,15,0 - 10,3.01,2.77,7.49,2.99,3.46,3.83
157,15,0 - 10,15,0 - 10,2.99,3.86,7.99,2.98,3.59,4.2
158,15,0 - 10,15,0 - 10,2.98,2.68,7.35,3.08,3.76,4.12
159,15,0 - 10,15,0 - 10,3.1,2.53,7.46,3.09,3.49,3.95
160,15,0 - 10,15,0 - 10,3.02,3.08,6.49,3.11,3.95,3.94
161,17,0 - 10,14,0 - 10,2.88,2.68,7.15,3.07,3.16,3.92
162,17,0 - 10,14,0 - 10,3.02,2.53,7.46,3.06,3.35,3.89
163,17,0 - 10,14,0 - 10,2.95,4.22,7.46,2.99,3.5,3.42
164,17,0 - 10,14,0 - 10,2.77,3.88,7.84,3.1,3.54,3.66
165,17,0 - 10,14,0 - 10,3.01,3,6.95,3.02,3.66,3.75
166,17,0 - 10,14,0 - 10,2.95,3.07,6.87,2.89,3.75,3.94
167,17,0 - 10,14,0 - 10,2.95,3.26,6.85,2.86,3.94,3.48
168,17,0 - 10,14,0 - 10,2.92,3.98,6.28,2.88,3.48,3.46
169,17,0 - 10,14,0 - 10,2.89,4.06,6.48,2.98,3.46,3.52
170,17,0 - 10,14,0 - 10,2.86,2.88,6.67,2.95,3.52,3.34
171,16,0 - 10,17,0 - 10,2.95,2.98,6.86,2.95,3.34,3.37
172,16,0 - 10,17,0 - 10,2.95,2.95,6.02,2.77,3.37,3.83
173,16,0 - 10,17,0 - 10,2.89,3.05,6.56,3.01,3.83,4.2
174,16,0 - 10,17,0 - 10,2.86,3.08,6.42,3.07,4.2,4.12
175,16,0 - 10,17,0 - 10,4.25,3.09,6.75,3.11,4.12,3.95
176,16,0 - 10,17,0 - 10,2.89,2.86,6.84,2.98,3.95,3.94
177,16,0 - 10,17,0 - 10,2.92,2.88,6.95,3.07,3.94,3.92
178,16,0 - 10,17,0 - 10,2.89,2.98,6.45,3.03,3.92,3.89
179,16,0 - 10,17,0 - 10,2.86,3.11,6.79,2.88,3.89,3.42
180,16,0 - 10,17,0 - 10,2.88,2.98,7.21,2.79,3.42,3.54
181,15,0 - 10,18,0 - 10,4,3.1,7.34,2.99,3.24,3.52
182,15,0 - 10,18,0 - 10,3.89,3.02,6.98,2.95,3.65,3.25
183,15,0 - 10,18,0 - 10,3.56,2.98,6.87,2.89,3.42,3.84
184,15,0 - 10,18,0 - 10,2.97,2.83,6.89,2.83,3.25,3.48
185,15,0 - 10,18,0 - 10,2.65,2.77,6.56,2.77,3.27,3.68
186,15,0 - 10,18,0 - 10,2.99,2.89,6.67,3.01,3.62,3.56
187,15,0 - 10,18,0 - 10,2.45,3.87,6.86,3.07,3.52,3.72
188,15,0 - 10,18,0 - 10,3.65,3.86,6.96,2.95,3.64,3.21
189,15,0 - 10,18,0 - 10,3.01,3.02,6.76,2.95,3.45,3.19
190,15,0 - 10,18,0 - 10,3.07,3.96,6.43,2.92,3.19,3.39
191,17,0 - 10,16,0 - 10,2.85,3.75,6.48,2.89,3.27,3.64
192,17,0 - 10,16,0 - 10,2.84,3.26,6.49,2.86,3.29,3.46
193,17,0 - 10,16,0 - 10,2.95,3.54,6.59,2.88,3.49,3.56
194,17,0 - 10,16,0 - 10,2.89,2.53,6.73,2.98,3.59,3.78
195,17,0 - 10,16,0 - 10,2.83,4.22,6.18,3,3.86,3.84
196,17,0 - 10,16,0 - 10,2.77,3.1,6.72,3.07,3.46,3.54
197,17,0 - 10,16,0 - 10,2.89,3.02,6.77,3.03,3.59,3.56
198,17,0 - 10,16,0 - 10,2.95,2.98,6.43,2.88,3.76,3.21
199,17,0 - 10,16,0 - 10,2.98,3,6.55,2.79,3.49,3.29
200,17,0 - 10,16,0 - 10,3,2.98,6.99,2.95,3.95,3.49
201,14,0 - 10,17,0 - 10,3.07,3,6.79,3.1,3.16,3.57
202,14,0 - 10,17,0 - 10,2.98,3.07,7.04,3.02,3.35,3.86
203,14,0 - 10,17,0 - 10,3,3.02,7.46,2.98,3.5,3.48
204,14,0 - 10,17,0 - 10,3.03,2.98,7.45,2.89,3.54,3.18
205,14,0 - 10,17,0 - 10,3.05,2.89,7.49,2.99,3.66,3.16
206,14,0 - 10,17,0 - 10,2.99,3.88,7.48,3.06,3.75,3.25
207,14,0 - 10,17,0 - 10,2.45,3.09,7.49,3.03,3.94,3.48
208,14,0 - 10,17,0 - 10,3.65,2.99,7.99,3.05,3.48,3.95
209,14,0 - 10,17,0 - 10,3.85,2.98,7.35,3.08,3.46,4.12
210,14,0 - 10,17,0 - 10,2.98,3.08,7.46,3.09,3.52,4.01
211,15,0 - 10,15,0 - 10,3.08,3.02,6.49,3.11,3.34,4.09
212,15,0 - 10,15,0 - 10,3.09,2.98,7.15,3.07,3.37,4.08
213,15,0 - 10,15,0 - 10,3.11,2.89,7.46,3.06,3.83,4.07
214,15,0 - 10,15,0 - 10,2.97,2.95,7.46,3.09,4.2,4.01
215,15,0 - 10,15,0 - 10,3.07,2.95,7.84,3.01,4.12,4.12
216,15,0 - 10,15,0 - 10,3.01,2.77,6.95,2.99,3.95,4.32
217,15,0 - 10,15,0 - 10,2.99,3.86,6.87,2.98,3.94,4.35
218,15,0 - 10,15,0 - 10,2.98,2.68,6.85,3.08,3.92,4.26
219,15,0 - 10,15,0 - 10,3.1,2.53,6.28,3.09,3.89,4.35
220,15,0 - 10,15,0 - 10,3.02,3.08,6.48,3.11,3.42,4.12
221,17,0 - 10,14,0 - 10,2.88,2.68,6.67,3.07,3.24,3.96
222,17,0 - 10,14,0 - 10,3.02,2.53,6.86,3.06,3.65,3.89
223,17,0 - 10,14,0 - 10,2.95,4.22,6.02,2.99,3.42,3.79
224,17,0 - 10,14,0 - 10,2.77,3.88,6.56,3.1,3.25,3.65
225,17,0 - 10,14,0 - 10,3.01,3,6.42,3.02,3.27,3.59
226,17,0 - 10,14,0 - 10,2.95,3.07,6.75,2.89,3.62,3.75
227,17,0 - 10,14,0 - 10,2.95,3.26,6.84,2.86,3.52,3.94
228,17,0 - 10,14,0 - 10,2.92,3.98,6.95,2.88,3.64,3.48
229,17,0 - 10,14,0 - 10,2.89,4.06,6.45,2.98,3.45,3.46
230,17,0 - 10,14,0 - 10,2.86,2.88,6.79,2.95,3.19,3.52
231,16,0 - 10,17,0 - 10,2.95,2.98,7.21,2.95,3.27,3.34
232,16,0 - 10,17,0 - 10,2.95,2.95,7.34,2.77,3.29,3.37
233,16,0 - 10,17,0 - 10,2.89,3.05,6.98,3.01,3.49,3.83
234,16,0 - 10,17,0 - 10,2.86,3.08,6.87,3.07,3.59,4.2
235,16,0 - 10,17,0 - 10,4.25,3.09,6.89,3.11,3.86,4.12
236,16,0 - 10,17,0 - 10,2.89,2.86,6.56,2.98,3.46,3.95
237,16,0 - 10,17,0 - 10,2.92,2.88,6.67,3.07,3.59,3.94
238,16,0 - 10,17,0 - 10,2.89,2.98,6.86,3.03,3.76,3.92
239,16,0 - 10,17,0 - 10,2.86,3.11,6.96,2.88,3.49,3.89
240,16,0 - 10,17,0 - 10,2.88,2.98,6.76,2.79,3.95,3.42
241,15,0 - 10,18,0 - 10,4,3.1,6.43,2.99,3.16,3.66
242,15,0 - 10,18,0 - 10,3.89,3.02,6.48,2.95,3.35,3.75
243,15,0 - 10,18,0 - 10,3.56,2.98,6.49,2.89,3.5,3.94
244,15,0 - 10,18,0 - 10,2.97,2.83,6.59,2.83,3.54,3.48
245,15,0 - 10,18,0 - 10,2.65,2.77,6.73,2.77,3.66,3.46
246,15,0 - 10,18,0 - 10,2.99,2.89,6.18,3.01,3.75,3.52
247,15,0 - 10,18,0 - 10,2.45,3.87,6.72,3.07,3.94,3.34
248,15,0 - 10,18,0 - 10,3.65,3.86,6.77,2.95,3.48,3.37
249,15,0 - 10,18,0 - 10,3.01,3.02,6.43,2.95,3.46,3.83
250,15,0 - 10,18,0 - 10,3.07,3.96,6.55,2.92,3.52,4.2
251,17,0 - 10,16,0 - 10,2.85,3.75,6.99,2.89,3.34,4.12
252,17,0 - 10,16,0 - 10,2.84,3.26,6.79,2.86,3.37,3.95
253,17,0 - 10,16,0 - 10,2.95,3.54,7.04,2.88,3.83,3.94
254,17,0 - 10,16,0 - 10,2.89,2.53,7.46,2.98,4.2,3.92
255,17,0 - 10,16,0 - 10,2.83,4.22,7.45,3,4.12,3.89
256,17,0 - 10,16,0 - 10,2.77,3.1,7.49,3.07,3.95,3.42
257,17,0 - 10,16,0 - 10,2.89,3.02,7.48,3.03,3.94,3.54
258,17,0 - 10,16,0 - 10,2.95,2.98,7.49,2.88,3.92,3.52
259,17,0 - 10,16,0 - 10,2.98,3,7.99,2.79,3.89,3.25
260,17,0 - 10,16,0 - 10,3,2.98,7.35,2.95,3.42,3.84
261,14,0 - 10,17,0 - 10,3.07,3,7.46,3.1,3.24,3.48
262,14,0 - 10,17,0 - 10,2.98,3.07,6.49,3.02,3.65,3.68
263,14,0 - 10,17,0 - 10,3,3.02,7.15,2.98,3.42,3.56
264,14,0 - 10,17,0 - 10,3.03,2.98,7.46,2.89,3.25,3.72
265,14,0 - 10,17,0 - 10,3.05,2.89,7.46,2.99,3.27,3.21
266,14,0 - 10,17,0 - 10,2.99,3.88,7.84,3.06,3.62,3.19
267,14,0 - 10,17,0 - 10,2.45,3.09,6.95,3.03,3.52,3.39
268,14,0 - 10,17,0 - 10,3.65,2.99,6.87,3.05,3.64,3.64
269,14,0 - 10,17,0 - 10,3.85,2.98,6.85,3.08,3.45,3.46
270,14,0 - 10,17,0 - 10,2.98,3.08,6.28,3.09,3.19,3.56
271,15,0 - 10,15,0 - 10,3.08,3.02,6.48,3.11,3.27,3.78
272,15,0 - 10,15,0 - 10,3.09,2.98,6.67,3.07,3.29,3.84
273,15,0 - 10,15,0 - 10,3.11,2.89,6.86,3.06,3.49,3.54
274,15,0 - 10,15,0 - 10,2.97,2.95,6.02,3.09,3.59,3.56
275,15,0 - 10,15,0 - 10,3.07,2.95,6.56,3.01,3.86,3.21
276,15,0 - 10,15,0 - 10,3.01,2.77,6.42,2.99,3.46,3.29
277,15,0 - 10,15,0 - 10,2.99,3.86,6.75,2.98,3.59,3.49
278,15,0 - 10,15,0 - 10,2.98,2.68,6.84,3.08,3.76,3.57
279,15,0 - 10,15,0 - 10,3.1,2.53,6.95,3.09,3.49,3.86
280,15,0 - 10,15,0 - 10,3.02,3.08,6.45,3.11,3.95,3.48
281,17,0 - 10,14,0 - 10,2.88,2.68,6.79,3.07,3.16,3.18
282,17,0 - 10,14,0 - 10,3.02,2.53,7.21,3.06,3.35,3.16
283,17,0 - 10,14,0 - 10,2.95,4.22,7.34,2.99,3.5,3.25
284,17,0 - 10,14,0 - 10,2.77,3.88,6.98,3.1,3.54,3.48
285,17,0 - 10,14,0 - 10,3.01,3,6.87,3.02,3.66,3.95
286,17,0 - 10,14,0 - 10,2.95,3.07,6.89,2.89,3.75,4.12
287,17,0 - 10,14,0 - 10,2.95,3.26,6.56,2.86,3.94,4.01
288,17,0 - 10,14,0 - 10,2.92,3.98,6.67,2.88,3.48,4.09
289,17,0 - 10,14,0 - 10,2.89,4.06,6.86,2.98,3.46,4.08
290,17,0 - 10,14,0 - 10,2.86,2.88,6.96,2.95,3.52,4.07
291,16,0 - 10,17,0 - 10,2.95,2.98,6.76,2.95,3.34,4.01
292,16,0 - 10,17,0 - 10,2.95,2.95,6.43,2.77,3.37,4.12
293,16,0 - 10,17,0 - 10,2.89,3.05,6.48,3.01,3.83,4.32
294,16,0 - 10,17,0 - 10,2.86,3.08,6.49,3.07,4.2,4.35
295,16,0 - 10,17,0 - 10,4.25,3.09,6.59,3.11,4.12,4.26
296,16,0 - 10,17,0 - 10,2.89,2.86,6.73,2.98,3.95,4.35
297,16,0 - 10,17,0 - 10,2.92,2.88,6.18,3.07,3.94,4.12
298,16,0 - 10,17,0 - 10,2.89,2.98,6.72,3.03,3.92,3.96
299,16,0 - 10,17,0 - 10,2.86,3.11,6.77,2.88,3.89,3.89
0,16,0 - 10,17,0 - 10,2.88,2.98,6.43,2.79,3.95,3.79
